Id,Start,Name,Impact,Currency
442a73eb-9dea-4ddc-bb39-798f465a6730,06/15/2012 03:00:00,BoJ Interest Rate Decision,HIGH,JPY
22722438-7f8b-4f41-9b18-a4422345d8ad,06/15/2012 06:50:00,ECB's President Draghi speech,HIGH,EUR
0a121e32-18b9-465b-8f81-aa207ea845ba,06/18/2012 00:00:00,G20 Meeting,HIGH,EUR
bb393ddf-2150-43fe-bcee-0d20e8b469ba,06/18/2012 05:00:00,BoJ Monthly Economic Survey,HIGH,JPY
60d09c72-be40-448d-bcc0-459cc49d6a5f,06/19/2012 00:00:00,G20 Meeting,HIGH,EUR
742e578f-a6da-401f-83a9-341f1d08a165,06/19/2012 08:30:00,Core Consumer Price Index (YoY),HIGH,GBP
967ac5ed-57c3-412e-b270-6fdb1a2cdfa7,06/19/2012 23:50:00,BoJ Monetary Policy Meeting Minutes,HIGH,JPY
30a0f1d8-76c8-4c53-9191-ddea57c1290d,06/20/2012 08:30:00,Bank of England Minutes,HIGH,GBP
c30e96aa-30cd-47d6-b031-2f1b1fe50544,06/20/2012 16:30:00,Fed Interest Rate Decision,HIGH,USD
ee4a7671-9a59-4206-b5e1-6b3f4998b59d,06/20/2012 18:00:00,FOMC Economic Projections,HIGH,USD
38f2f6b3-9030-41d1-9473-f9b6940408dd,06/20/2012 18:15:00,Fed's Monetary Policy Statement and Press Conference,HIGH,USD
73dfc6f2-62a1-4129-a7b8-4895c3d6af09,06/21/2012 12:00:00,European Systemic Risk Board Meeting,HIGH,EUR
e12cf2c9-9fd6-45fd-b683-7415afe29169,06/22/2012 00:00:00,EU Leaders Special Summit,HIGH,EUR
4d625e75-1b3d-49fd-9b44-11f519fe5e45,06/22/2012 00:00:00,"Dragon Boat Festival ",NONE,CNY
27a0d763-8d99-46da-af2c-6e4ed0908698,06/26/2012 09:00:00,BoE Monetary Policy Report Hearings,HIGH,GBP
58755892-5b1f-4e55-9b39-1b612382432e,06/28/2012 12:15:00,European Council Meeting,HIGH,EUR
65a75d92-05b2-446a-9bac-6a71cbf1f8f8,06/29/2012 14:00:00,European Council Meeting,HIGH,EUR
1dc161c1-b2f1-432a-b70f-11968d4782da,07/03/2012 09:00:00,Producer Price Index (YoY),HIGH,EUR
8a281d84-ecde-47d8-93c1-f7f1cf5b69e7,07/04/2012 00:00:00,Independence Day,NONE,USD
cea5bf7b-0ed4-4cef-8eb8-b7d0cc1fee2c,07/05/2012 11:00:00,BoE Asset Purchase Facility,HIGH,GBP
79793173-87b1-4cd0-bbd6-fbbdc2b7bb86,07/05/2012 11:00:00,BoE Interest Rate Decision,HIGH,GBP
9928b75b-5b83-40eb-9e79-4ea09d184d59,07/05/2012 11:00:00,PBoC Interest Rate Decision,HIGH,CNY
1bccd7e5-fc3c-4120-9671-aa744a3844ca,07/05/2012 11:45:00,ECB rate on main refinancing operations,HIGH,EUR
1a0da285-2ae5-469c-9d74-eb361f81bbb2,07/05/2012 12:30:00,ECB Press Conference,HIGH,EUR
9d584284-dc67-41d9-9078-21e84c406f50,07/06/2012 12:30:00,Nonfarm Payrolls,HIGH,USD
